Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Fort Schuyler Club Building,Oneida,5/12/2004,03NR05176,-75.23496531,43.10000495,POINT (-75.23496531 43.10000495)
Unadilla Water Works,Otsego,9/4/1992,92NR00343,-75.31922416,42.33690739,POINT (-75.31922416 42.33690739)
Smith-Taylor Cabin,Suffolk,9/28/2007,06NR05605,-72.2989632,41.06949826,POINT (-72.2989632 41.06949826)
Comstock Hall,Tompkins,9/24/1984,90NR02259,-76.47902689,42.4492702,POINT (-76.47902689 42.4492702)
"Hough, Franklin B., House",Lewis,10/15/1966,90NR01194,-75.50064587,43.78834776,POINT (-75.50064587 43.78834776)
Teviotdale,Columbia,10/10/1979,90NR00239,-73.84079851,42.15273568,POINT (-73.84079851 42.15273568)
Brookside,Saratoga,5/21/1975,90NR02608,-73.85520126,43.00210318,POINT (-73.85520126 43.00210318)
Lane Cottage,Essex,11/6/1992,90NR02930,-74.12239039,44.32997931,POINT (-74.12239039 44.32997931)
Rock Hall,Nassau,11/21/1976,90NR01714,-73.73419318,40.60924086,POINT (-73.73419318 40.60924086)
Kingsland Homestead,Queens,5/31/1972,90NR01578,-73.82402146,40.76373114,POINT (-73.82402146 40.76373114)
Hancock House,Essex,11/15/1988,90NR00485,-73.43458994,43.84878656,POINT (-73.43458994 43.84878656)
Eighth Avenue (14th Regiment) Armory,Kings,4/14/1994,94NR00539,-73.98292644,40.66290879,POINT (-73.98292644 40.66290879)
Downtown Gloversville Historic District,Fulton,9/12/1985,90NR00516,-74.34451034,43.05128757,POINT (-74.34451034 43.05128757)
Rest Haven,Orange,6/26/2017,17NR00015,-74.19547891,41.3286561,POINT (-74.19547891 41.3286561)
Devinne Press Building,New York,9/14/1977,90NR00842,-73.99264689,40.72792866,POINT (-73.99264689 40.72792866)
Woodlawn Avenue Row,Erie,3/19/1986,90NR01215,-78.8619565,42.91374647,POINT (-78.8619565 42.91374647)
The Wayne and Waldorf Apartments,Erie,11/12/2014,14NR06575,-78.8689998,42.90396164,POINT (-78.8689998 42.90396164)
Bateman Hotel,Lewis,2/18/1994,94NR00548,-75.49135953,43.78638515,POINT (-75.49135953 43.78638515)
Firemen's Hall,Queens,8/31/2000,00NR01654,-73.84505989,40.78579873,POINT (-73.84505989 40.78579873)
Adriance Memorial Library,Dutchess,11/26/1982,90NR00381,-73.93017237,41.70051965,POINT (-73.93017237 41.70051965)
"Shoecroft, Matthew, House",Oswego,11/15/1988,90NR02162,-76.06156978,43.64216273,POINT (-76.06156978 43.64216273)
The Dr. Wesley Blaisdell House 'Maplehurst',Albany,7/17/2012,12NR06317,-73.79317214,42.47239427,POINT (-73.79317214 42.47239427)
Old Parsonage,Columbia,10/7/1983,90NR00228,-73.8182569,42.09221157,POINT (-73.8182569 42.09221157)
Rochester Fire Department Headquarters and Shops,Monroe,10/21/1985,90NR01520,-77.60345542,43.1608634,POINT (-77.60345542 43.1608634)
"Smith, Obadiah, House",Suffolk,12/6/1996,96NR01061,-73.22946381,40.89414146,POINT (-73.22946381 40.89414146)
Buffalo North Breakwater South End Light,Erie,8/4/1983,90NR01230,-78.89576523,42.88047909,POINT (-78.89576523 42.88047909)
"Sidewalk Clock at 200 5th Avenue, Manhattan",New York,4/18/1985,90NR00668,-73.98938712,40.74198036,POINT (-73.98938712 40.74198036)
Clarkson Office Building,St. Lawrence,3/5/2004,99NR01511,-74.9886645,44.66793818,POINT (-74.9886645 44.66793818)
Stacked plank house at 461 Spruce Lake Rd,Schoharie,1/7/2015,14NR06595,-74.5943958,42.58493255,POINT (-74.5943958 42.58493255)
Mount Adnah Cemetery,Oswego,2/2/2001,01NR01736,-76.40320823,43.32064074,POINT (-76.40320823 43.32064074)
Woodbine-Palmetto-Gates Historic District,Queens,9/30/1983,90NR01609,-73.90415514,40.70673075,POINT (-73.90415514 40.70673075)
Saddle Rock Grist Mill,Nassau,12/27/1978,90NR01948,-73.75122924,40.7977633,POINT (-73.75122924 40.7977633)
Vanderbeck House,Monroe,4/9/1984,90NR01465,-77.63044781,43.19003619,POINT (-77.63044781 43.19003619)
Fountain Elms,Oneida,11/3/1972,90NR02055,-75.24111705,43.09705104,POINT (-75.24111705 43.09705104)
Lake George Avenue Historic District,Essex,6/16/1989,90NR02939,-73.42876363,43.84537832,POINT (-73.42876363 43.84537832)
Partridge-Sheldon House,Chautauqua,6/2/2000,00NR01593,-79.23777359,42.08938354,POINT (-79.23777359 42.08938354)
'Sunset Hill',Herkimer,1/4/2007,06NR05655,-74.97831329,42.85805118,POINT (-74.97831329 42.85805118)
Glebe House,Dutchess,11/26/1982,90NR00400,-73.91183217,41.69855731,POINT (-73.91183217 41.69855731)
"Howland, Slocum and Hannah, House",Cayuga,4/12/2006,05NR05509,-76.62239268,42.76121678,POINT (-76.62239268 42.76121678)
Central Avenue Historic District,Queens,9/30/1983,90NR01595,-73.88959815,40.70292846,POINT (-73.88959815 40.70292846)
Public School 65K,Kings,12/10/1981,90NR01346,-73.87725843,40.6834083,POINT (-73.87725843 40.6834083)
"Old Croton Dam, Site of; New Croton Dam",Westchester,6/19/1973,90NR02430,-73.8553987,41.2263269,POINT (-73.8553987 41.2263269)
Pine Terrace,Orange,11/23/1982,90NR02333,-73.96484465,41.36448129,POINT (-73.96484465 41.36448129)
James M and Eleanor J Lafferty House,Schenectady,,16NR00032,-73.87873735,42.80164962,POINT (-73.87873735 42.80164962)
Baptist Temple,Kings,11/20/1995,95NR00806,-73.98032304,40.68654607,POINT (-73.98032304 40.68654607)
North Salem Town Hall,Westchester,9/4/1980,90NR02455,-73.59799579,41.32927498,POINT (-73.59799579 41.32927498)
Union Chapel,Greene,12/28/2001,01NR01852,-74.24501337,42.35299831,POINT (-74.24501337 42.35299831)
"Buffett, Joseph, House",Suffolk,9/26/1985,90NR01804,-73.44490844,40.83824509,POINT (-73.44490844 40.83824509)
"Leonard Street, Building at 85",New York,4/23/1980,90NR00676,-74.00469566,40.71746555,POINT (-74.00469566 40.71746555)
Center Theatre,Sullivan,2/23/2001,00NR01699,-74.60178351,41.75848218,POINT (-74.60178351 41.75848218)
"Dick, Peter, House",Columbia,7/29/2009,08NR05885,-73.85557849,42.12667295,POINT (-73.85557849 42.12667295)
Estherwood and Carriage House,Westchester,11/20/1979,90NR02533,-73.87008836,41.01263255,POINT (-73.87008836 41.01263255)
Morse Cobblestone Farmhouse,Niagara,8/30/2010,10NR06132,-78.79851718,43.28054108,POINT (-78.79851718 43.28054108)
Town Line (Lenticular Truss) Bridge,Cortland,5/29/2008,07NR05789,-75.88267718,42.56591215,POINT (-75.88267718 42.56591215)
"Eastman, George, House",Monroe,11/13/1966,90NR01524,-77.58005341,43.15291914,POINT (-77.58005341 43.15291914)
"Wetherill, Kate Anette, Estate",Suffolk,8/9/1993,91NR00132,-73.1684488,40.89267948,POINT (-73.1684488 40.89267948)
Riverside Park,Erie,3/30/1982,90NR01219,-78.90873904,42.95572588,POINT (-78.90873904 42.95572588)
Lisbon Railroad Depot,St. Lawrence,11/22/2000,98NR01381,-75.31882401,44.7274099,POINT (-75.31882401 44.7274099)
"Maples, The",Dutchess,7/9/1987,90NR00457,-73.91543701,41.93598575,POINT (-73.91543701 41.93598575)
Neville House,Richmond,7/28/1977,90NR01028,-74.09912802,40.64444925,POINT (-74.09912802 40.64444925)
Bishop Family Lustron House,Schenectady,3/5/2008,07NR05783,-73.91442371,42.88685355,POINT (-73.91442371 42.88685355)
Nuits,Westchester,4/18/1977,90NR02539,-73.87457179,41.02489018,POINT (-73.87457179 41.02489018)
East 54th-55th Streets Historic District,New York,,00NR01622,-73.97102379,40.75982508,POINT (-73.97102379 40.75982508)
Tenement Building at 97 Orchard Street,New York,5/19/1992,92NR00300,-73.99028014,40.7185552,POINT (-73.99028014 40.7185552)
Your Home Library,Broome,10/5/2005,05NR05451,-75.94924293,42.11323793,POINT (-75.94924293 42.11323793)
"Forsyth, James and Mary, House",Ulster,7/3/2003,03NR05076,-74.01401607,41.9337423,POINT (-74.01401607 41.9337423)
James Keith House,Herkimer,1/15/2014,13NR06466,-75.02226175,43.17061504,POINT (-75.02226175 43.17061504)
Warsaw Academy,Wyoming,1/3/1980,90NR02039,-78.133123,42.73874949,POINT (-78.133123 42.73874949)
Pickens Hall,St. Lawrence,10/27/2004,04NR05255,-75.40589157,44.6176185,POINT (-75.40589157 44.6176185)
"Westinghouse, George Jr., Birthplace and Boyhood Home",Schoharie,3/20/1986,90NR02679,-74.33182274,42.70901738,POINT (-74.33182274 42.70901738)
Fort Tompkins Quadrangle,Richmond,7/30/1974,90NR01029,-74.05660684,40.60503557,POINT (-74.05660684 40.60503557)
United States Merchant Marine Academy Historic District,Nassau,8/29/2014,15NR00146,-73.76204488,40.81174407,POINT (-73.76204488 40.81174407)
"Hanford, Uriah, House",Yates,8/24/1994,94NR00643,-77.07593271,42.6535026,POINT (-77.07593271 42.6535026)
Babcock-Shattuck House (Former Jewish War Veterans Home),Onondaga,5/12/2004,03NR05080,-76.11938471,43.04518649,POINT (-76.11938471 43.04518649)
North Ridge United Methodist Church,Niagara,12/31/2002,02NR04985,-78.8277307,43.21241477,POINT (-78.8277307 43.21241477)
Mackay Estate Dairyman's Cottage,Nassau,3/14/1991,90NR03288,-73.62568966,40.80067301,POINT (-73.62568966 40.80067301)
Sloat House,Rockland,11/5/1974,90NR02420,-74.19404984,41.15175173,POINT (-74.19404984 41.15175173)
W.M. Sayer House,Orange,,04NR05230,-74.32575675,41.40109929,POINT (-74.32575675 41.40109929)
Zink Block,Erie,12/7/2010,10NR06146,-78.88829154,42.90585616,POINT (-78.88829154 42.90585616)
Guilford Historic District,Chenango,,13NR06447,-75.48957375,42.4040212,POINT (-75.48957375 42.4040212)
Ticonderoga National Bank,Essex,11/15/1988,90NR00491,-73.42328927,43.84903758,POINT (-73.42328927 43.84903758)
Greeley House,Westchester,4/19/1979,90NR02448,-73.77131343,41.15911099,POINT (-73.77131343 41.15911099)
"Renshaw, Alfred H., House",Albany,10/3/1985,90NR02788,-73.74998612,42.72383223,POINT (-73.74998612 42.72383223)
Fourteenth Ward Industrial School,New York,1/27/1983,90NR00612,-73.99442578,40.7235482,POINT (-73.99442578 40.7235482)
"John J. Harvey, fireboat",New York,6/16/2000,00NR01599,-74.00979971,40.7523514,POINT (-74.00979971 40.7523514)
"Delong, Zopher, House",Warren,9/29/1984,90NR02705,-73.64905743,43.31137055,POINT (-73.64905743 43.31137055)
New York Central Terminal,Erie,9/7/1984,90NR01233,-78.8311604,42.88860882,POINT (-78.8311604 42.88860882)
Essex County Fairgrounds,Essex,9/7/2005,02NR05038,-73.44804986,44.18681929,POINT (-73.44804986 44.18681929)
Genesee County Courthouse Historic District,Genesee,12/10/1982,90NR00529,-78.18701559,42.99815038,POINT (-78.18701559 42.99815038)
East Harlem Historic District,New York,7/10/2019,17NR00112,-73.93622082,40.79633681,POINT (-73.93622082 40.79633681)
White Residence,Onondaga,2/14/1997,96NR01123,-76.17215808,43.0259396,POINT (-76.17215808 43.0259396)
Hurley Historic District,Ulster,10/15/1966,90NR01067,-74.07044236,41.93905669,POINT (-74.07044236 41.93905669)
Pulaski Village Historic District,Oswego,9/8/1983,90NR02164,-76.12783406,43.56719367,POINT (-76.12783406 43.56719367)
Cold Brook Feed Mill,Herkimer,10/9/1974,90NR00600,-75.04096232,43.23974711,POINT (-75.04096232 43.23974711)
East Otto Union School,Cattaraugus,9/15/2004,03NR05063,-78.75431914,42.39098137,POINT (-78.75431914 42.39098137)
Wildwood Cemetery & Mary Lyon Fisher Memorial Chapel,Lewis,6/27/2011,11NR06208,-75.3455622,43.60652319,POINT (-75.3455622 43.60652319)
First Baptist Church,Monroe,10/20/2011,10NR06194,-77.93948093,43.21397684,POINT (-77.93948093 43.21397684)
"Jordan, Dr. Abram, House (Wedding Present House)",Columbia,9/9/1999,97NR01201,-73.72271491,42.22492659,POINT (-73.72271491 42.22492659)
"Wood, Wilford, House",Orange,8/28/1998,98NR01376,-74.07276292,41.4112159,POINT (-74.07276292 41.4112159)
"Wilson, Edmund, House",Lewis,11/26/1973,90NR01191,-75.36634278,43.53451373,POINT (-75.36634278 43.53451373)
New York Presbyterian Church,New York,6/3/1982,90NR00752,-73.94639942,40.81092329,POINT (-73.94639942 40.81092329)
Kellerman Log Cabin,Livingston,2/1/2006,05NR05506,-77.67463574,42.72660292,POINT (-77.67463574 42.72660292)
Seventh Regiment Armory,New York,4/14/1975,90NR00657,-73.96551931,40.76725038,POINT (-73.96551931 40.76725038)
Stoddard-O?Connor House,Lewis,6/23/2011,10NR06179,-75.4908805,43.7871725,POINT (-75.4908805 43.7871725)
"Fifth Street, Building at 94",Nassau,11/14/1978,91NR00193,-73.63842328,40.72084205,POINT (-73.63842328 40.72084205)
The Courier Building,Onondaga,2/14/2014,13NR06503,-76.14950189,43.04984722,POINT (-76.14950189 43.04984722)
Blink Bonnie,Rensselaer,8/10/2000,00NR01616,-73.70248908,42.56829954,POINT (-73.70248908 42.56829954)
Old Stone Shop,Jefferson,9/6/1990,90NR03000,-76.19631896,44.08146088,POINT (-76.19631896 44.08146088)
Engine House #2 and Hook & Ladder #9,Erie,5/11/2011,11NR06195,-78.88645165,42.90218652,POINT (-78.88645165 42.90218652)
"West Cayuga Street, House at 37",Cayuga,2/24/1995,95NR00795,-76.42617368,42.71376123,POINT (-76.42617368 42.71376123)
Albany Avenue Historic District,Rensselaer,11/21/1978,90NR01009,-73.61529701,42.5175021,POINT (-73.61529701 42.5175021)
Sylvester Manor,Suffolk,4/28/2015,14NR06588,-72.3382055,41.07989691,POINT (-72.3382055 41.07989691)
"Jones, Samuel and Johanna Farm",Montgomery,5/27/1993,92NR00383,-74.10437155,42.96413097,POINT (-74.10437155 42.96413097)
Clinton House,Dutchess,11/26/1982,90NR00390,-73.91613403,41.70033164,POINT (-73.91613403 41.70033164)
All Saints Episcopal Church,Westchester,5/2/2002,02NR01901,-73.84371733,41.14485681,POINT (-73.84371733 41.14485681)
New York Botanical Garden,Bronx,5/28/1967,90NR00041,-73.87724116,40.86228537,POINT (-73.87724116 40.86228537)
"Myers, Stephen Residence",Albany,11/30/2004,04NR05220,-73.75456224,42.6610085,POINT (-73.75456224 42.6610085)
Watervliet Shaker Historic District,Albany,2/20/1973,90NR02797,-73.82028654,42.73959833,POINT (-73.82028654 42.73959833)
Stanley Theater,Oneida,8/13/1976,90NR02058,-75.2353652,43.09882438,POINT (-75.2353652 43.09882438)
Main Street Historic District,Dutchess,1/27/2010,09NR06028,-73.51019674,41.95366258,POINT (-73.51019674 41.95366258)
New Utrecht Reformed Church Complex (Boundary Increase),Kings,3/5/2001,98NR01291,-74.00598897,40.61078099,POINT (-74.00598897 40.61078099)
P.S. 186,New York,5/15/2017,17NR00005,-73.94868569,40.82616414,POINT (-73.94868569 40.82616414)
Churchill Park Historic District,Delaware,11/17/1980,90NR00291,-74.62543519,42.41401035,POINT (-74.62543519 42.41401035)
"Hilton Avenue, Building at 53-55",Nassau,11/14/1978,91NR00233,-73.63790238,40.72383106,POINT (-73.63790238 40.72383106)
Haring-Eberle House,Rockland,7/12/1990,90NR03074,-73.91446721,41.01413299,POINT (-73.91446721 41.01413299)
Brick House,Madison,2/18/1988,90NR01402,-75.87212286,42.90622766,POINT (-75.87212286 42.90622766)
Major's Inn and Gilbert Block,Otsego,4/11/1973,90NR02193,-75.32710636,42.47121779,POINT (-75.32710636 42.47121779)
Fort St. Frederic,Essex,10/15/1966,90NR00460,-73.42613097,44.03040087,POINT (-73.42613097 44.03040087)
United States Post Office-Old Chelsea Station,New York,5/11/1989,90NR00718,-73.99887511,40.74172768,POINT (-73.99887511 40.74172768)
Horton Gristmill,Franklin,4/21/1975,90NR00502,-74.29252795,44.84762299,POINT (-74.29252795 44.84762299)
United States Post Office-Rhinebeck,Dutchess,5/11/1989,90NR00454,-73.91300745,41.92634233,POINT (-73.91300745 41.92634233)
The White House,Otsego,9/4/2012,12NR06365,-75.05872959,42.68798986,POINT (-75.05872959 42.68798986)
Woodstock Music Festival Site,Sullivan,2/28/2017,16NR00121,-74.88606412,41.70232536,POINT (-74.88606412 41.70232536)
Lacy-Van Vleet House,Tompkins,6/8/1984,90NR02270,-76.30129654,42.49017734,POINT (-76.30129654 42.49017734)
"Slingerlands, Albert, House",Albany,2/14/1997,97NR01137,-73.85742215,42.6286065,POINT (-73.85742215 42.6286065)
Col. Sidney Berry House,Saratoga,12/12/2003,03NR05115,-73.58523169,43.21299786,POINT (-73.58523169 43.21299786)
"South Main Street, House at 36",Cayuga,2/24/1995,95NR00796,-76.42141083,42.70780794,POINT (-76.42141083 42.70780794)
Rochester Fire Department Headquarters and Shops,Monroe,10/21/1985,90NR01520,-77.60408291,43.16124659,POINT (-77.60408291 43.16124659)
Old Biology Hall,Madison,9/20/1973,90NR01442,-75.53479244,42.81794161,POINT (-75.53479244 42.81794161)
National Biscuit Company Carton Making and Printing Plant,Dutchess,4/18/2003,01NR01792,-73.98223019,41.50016282,POINT (-73.98223019 41.50016282)
National Youth Administration Woodstock Resident Craft Center,Ulster,4/30/1992,92NR00348,-74.09370168,42.04014173,POINT (-74.09370168 42.04014173)
Mentz Church,Cayuga,9/24/2004,04NR05253,-76.67734364,42.99612049,POINT (-76.67734364 42.99612049)
Delaware County Courthouse Square District,Delaware,7/16/1973,90NR00287,-74.91667813,42.2780347,POINT (-74.91667813 42.2780347)
Linlithgo Reformed Church of Livingston,Columbia,2/1/2006,04NR05219,-73.77530167,42.14292144,POINT (-73.77530167 42.14292144)
Old St. Patrick's Cathedral Complex,New York,8/29/1977,90NR00815,-73.99511249,40.72366965,POINT (-73.99511249 40.72366965)
First Presbyterian Church of Lewiston and Village Cemetery,Niagara,6/3/2019,18NR00089,-79.0411377,43.1704151,POINT (-79.0411377 43.1704151)
"Smith, Henry Tunis, Farm",Rensselaer,9/18/1975,90NR00963,-73.61933541,42.49329645,POINT (-73.61933541 42.49329645)
Hopkins House,Niagara,5/30/2003,03NR05053,-78.69360692,43.17810615,POINT (-78.69360692 43.17810615)
"Nowak, Dr. John J., House",Erie,11/30/1999,99NR01540,-78.66372971,42.89768947,POINT (-78.66372971 42.89768947)
Martisco Station,Onondaga,4/5/2007,06NR05623,-76.33703935,43.01747321,POINT (-76.33703935 43.01747321)
"Platt, Charles C., Homestead",Clinton,11/12/1982,90NR00188,-73.46104893,44.70872114,POINT (-73.46104893 44.70872114)
Smithfield Presbyterian Church & Cemetery,Dutchess,2/3/2012,11NR06279,-73.59982932,41.88557002,POINT (-73.59982932 41.88557002)
"Pupin Physics Laboratories, Columbia University",New York,10/15/1966,90NR00877,-73.96143088,40.81001016,POINT (-73.96143088 40.81001016)
Horton Point Lighthouse,Suffolk,10/21/1994,94NR00624,-72.44578127,41.08513865,POINT (-72.44578127 41.08513865)
Kismet Temple,Kings,12/11/2013,13NR06471,-73.95028648,40.67933658,POINT (-73.95028648 40.67933658)
Chestertown Historic District,Warren,8/22/1977,90NR02691,-73.80141734,43.6519749,POINT (-73.80141734 43.6519749)
Hepburn Library of Colton,St. Lawrence,5/16/2012,12NR06309,-74.93896697,44.5530332,POINT (-74.93896697 44.5530332)
Philipse Manor Railroad Station,Westchester,3/14/1991,91NR03344,-73.86947812,41.09461541,POINT (-73.86947812 41.09461541)
Defreest Homestead,Rensselaer,8/2/1977,90NR00964,-73.69368882,42.67664128,POINT (-73.69368882 42.67664128)
"73 Grove Street, House at",Nassau,1/23/2008,07NR05778,-73.66715225,40.66315325,POINT (-73.66715225 40.66315325)
Felsthamel/Edelberg Cottage,Franklin,11/6/1992,90NR02972,-74.13612185,44.32900239,POINT (-74.13612185 44.32900239)
"Crounse, Jacob, Inn",Albany,11/10/1982,90NR01628,-74.01881445,42.70546877,POINT (-74.01881445 42.70546877)
St. Ann's Episcopal Church and Rectory,Suffolk,8/30/2010,01NR01780,-73.0754913,40.73618153,POINT (-73.0754913 40.73618153)
